id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,reviews_per_month,price,Entire_home_apt,Hotel_room,Private_room,Shared_room,bathrooms_number,Air_conditioning,Bed_linens,Coffee_maker,Cooking_basics,Dedicated_workspace,Dishes_and_silverware,Elevator,Essentials,Fire_extinguisher,First_aid_kit,Free_street_parking,Hair_dryer,Hangers,Heating,Hot_water,Iron,Kitchen,Long_term_stays_allowed,Oven,Refrigerator,Shampoo,Stove,TV,Washer,Wifi,neighbourhood__1o_nekrotapheio,neighbourhood__agios_eleutherios,neighbourhood__agios_konstantinos_plateia_bathes,neighbourhood__agios_nikolaos,neighbourhood__akademia_platonos,neighbourhood__akropole,neighbourhood__ampelokepoi,neighbourhood__ano_kupsele,neighbourhood__ano_patesia,neighbourhood__botanikos,neighbourhood__ellenoroson,neighbourhood__emporiko_trigono_plaka,neighbourhood__gkazi,neighbourhood__gkuze,neighbourhood__gouba,neighbourhood__goudi,neighbourhood__ilisia,neighbourhood__kerameikos,neighbourhood__kolokunthou,neighbourhood__kolonaki,neighbourhood__kolonos,neighbourhood__koukaki_makrugianne,neighbourhood__kupsele,neighbourhood__lukabettos,neighbourhood__mouseio_eksarkheia_neapole,neighbourhood__nea_kupsele,neighbourhood__neos_kosmos,neighbourhood__nirbana,neighbourhood__pagkrati,neighbourhood__patesia,neighbourhood__pedio_areos,neighbourhood__pentagono,neighbourhood__petralona,neighbourhood__plateia_amerikes,neighbourhood__plateia_attikes,neighbourhood__polugono,neighbourhood__prompona,neighbourhood__regilles,neighbourhood__rizoupole,neighbourhood__sepolia,neighbourhood__stadio,neighbourhood__stathmos_larises,neighbourhood__theseio,neighbourhood__zappeio
10595,,,1,6.0,1,3.0,5.0,8,32,0.41,79.0,1,0,0,0,2.0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10990,,,1,6.0,1,1.0,1.0,4,52,0.72,50.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10993,,,1,6.0,1,,1.0,2,71,0.97,38.0,1,0,0,0,1.0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10995,,,1,6.0,1,1.0,2.0,4,24,0.33,48.0,1,0,0,0,1.0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27262,,,1,6.0,1,1.0,1.0,4,17,0.23,47.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28186,1.0,1.0,1,2.0,1,1.0,2.0,4,465,4.65,59.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31155,,,0,1.0,1,1.0,0.0,1,0,,39.0,0,0,1,0,1.0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33945,,0.5,0,2.0,0,2.0,2.0,5,71,0.94,30.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49489,1.0,0.0,1,5.0,1,3.0,5.0,7,121,1.45,120.0,1,0,0,0,1.5,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54637,0.0,,0,1.0,0,1.0,1.0,2,3,0.03,70.0,1,0,0,0,1.0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59663,1.0,0.82,0,1.0,1,4.0,4.0,6,343,3.31,50.0,1,0,0,0,2.0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60394,,,0,1.0,1,1.0,1.0,3,9,0.13,28.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80598,0.75,0.95,1,3.0,1,1.0,1.0,2,458,4.51,32.0,1,0,0,0,1.5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83097,1.0,,0,1.0,0,1.0,3.0,4,21,0.27,45.0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85539,,,0,1.0,0,1.0,4.0,4,0,,75.0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119682,,1.0,0,1.0,1,1.0,1.0,3,122,1.19,65.0,1,0,0,0,1.0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131133,0.93,1.0,0,9.0,1,1.0,0.0,5,31,0.58,56.0,1,0,0,0,1.5,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133835,1.0,0.8,1,1.0,1,1.0,1.0,2,8,0.07,40.0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133906,0.93,1.0,0,9.0,1,2.0,7.0,7,46,0.45,69.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138386,0.0,,0,1.0,1,2.0,2.0,4,59,0.66,52.0,1,0,0,0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154243,0.8,0.85,0,0.0,1,1.0,1.0,4,177,1.6,55.0,1,0,0,0,1.0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
